file_name total_pred correct incorrect total_truth missed
2008_000002 5 1 4 1 0
2008_000003 3 1 2 2 1
2008_000007 3 0 3 1 1
2008_000009 4 1 3 2 1
2008_000016 8 1 7 1 0
2008_000021 1 1 0 1 0
2008_000026 5 1 4 2 1
2008_000027 7 1 6 1 0
2008_000032 9 1 8 2 1
2008_000034 11 4 7 4 0
2008_000042 4 0 4 1 1
2008_000043 14 5 9 8 3
2008_000050 4 1 3 1 0
2008_000051 16 3 13 7 4
2008_000052 6 3 3 3 0
2008_000054 5 2 3 2 0
2008_000056 2 1 1 1 0
2008_000059 5 1 4 2 1
2008_000062 3 1 2 1 0
2008_000064 3 1 2 1 0
2008_000067 10 1 9 2 1
2008_000073 3 1 2 1 0
2008_000075 11 1 10 1 0
2008_000076 5 1 4 1 0
2008_000078 3 1 2 1 0
2008_000080 2 1 1 1 0
2008_000082 5 3 2 4 1
2008_000084 1 1 0 1 0
2008_000090 20 6 14 7 1
2008_000107 18 1 17 1 0
2008_000115 4 1 3 2 1
2008_000116 5 1 4 1 0
2008_000119 3 1 2 2 1
2008_000120 3 1 2 1 0
2008_000123 1 1 0 1 0
2008_000133 4 2 2 2 0
2008_000134 2 1 1 2 1
2008_000138 7 4 3 6 2
2008_000140 7 1 6 2 1
2008_000145 12 2 10 2 0
2008_000149 4 1 3 2 1
2008_000163 3 1 2 1 0
2008_000174 10 5 5 6 1
2008_000177 4 1 3 1 0
2008_000182 1 0 1 1 1
2008_000183 1 1 0 1 0
2008_000190 5 0 5 1 1
2008_000194 5 2 3 2 0
2008_000195 7 4 3 5 1
2008_000203 6 2 4 4 2
